50
Tokyo,35.6895,139.6917
New Delhi,28.6139,77.2090
Beijing,39.9042,116.4074
Moscow,55.7558,37.6176
Cairo,30.0444,31.2357
Paris,48.8566,2.3522
Berlin,52.5200,13.4050
Rome,41.9028,12.4964
Seoul,37.5665,126.9780
Islamabad,33.6844,73.0479
Riyadh,24.7136,46.6753
Tehran,35.6892,51.3890
Ankara,39.9334,32.8597
Bangkok,13.7563,100.5018
Abu Dhabi,24.4539,54.3773
Amsterdam,52.3676,4.9041
Budapest,47.4979,19.0402
Prague,50.0755,14.4378
Athens,37.9838,23.7275
Vienna,48.2082,16.3738
Copenhagen,55.6761,12.5683
Stockholm,59.3293,18.0686
Oslo,59.9139,10.7522
Helsinki,60.1695,24.9354
Warsaw,52.2297,21.0122
Bucharest,44.4268,26.1025
Belgrade,44.7866,20.4489
Sofia,42.6977,23.3219
Zagreb,45.8150,15.9819
Kiev,50.4501,30.5234
Bratislava,48.1486,17.1077
Vilnius,54.6872,25.2797
Riga,56.9496,24.1052
Tallinn,59.4370,24.7536
Valletta,35.8989,14.5146
